sample	accession	fasta	assembly_level	organism_name	taxid	ftp_path	ftp_fasta
GCF_049537415v1	GCF_049537415.1	GCF_049537415.1_genomic.fna	contig	Enterobacter hormaechei	158836	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/537/415/GCF_049537415.1_ASM4953741v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/537/415/GCF_049537415.1_ASM4953741v1/GCF_049537415.1_ASM4953741v1_genomic.fna.gz
GCF_003949395v1	GCF_003949395.1	GCF_003949395.1_genomic.fna	contig	Acinetobacter baumannii	470	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/949/395/GCF_003949395.1_ASM394939v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/949/395/GCF_003949395.1_ASM394939v1/GCF_003949395.1_ASM394939v1_genomic.fna.gz
GCF_014335185v1	GCF_014335185.1	GCF_014335185.1_genomic.fna	contig	Corynebacterium sp. LK24	2044583	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/335/185/GCF_014335185.1_LK24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/335/185/GCF_014335185.1_LK24/GCF_014335185.1_LK24_genomic.fna.gz
GCF_015912065v1	GCF_015912065.1	GCF_015912065.1_genomic.fna	contig	Ralstonia solanacearum	305	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/912/065/GCF_015912065.1_ASM1591206v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/912/065/GCF_015912065.1_ASM1591206v1/GCF_015912065.1_ASM1591206v1_genomic.fna.gz
GCF_014288005v1	GCF_014288005.1	GCF_014288005.1_genomic.fna	contig	Hungatella hominis	2763050	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/288/005/GCF_014288005.1_ASM1428800v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/288/005/GCF_014288005.1_ASM1428800v1/GCF_014288005.1_ASM1428800v1_genomic.fna.gz
GCF_009675425v1	GCF_009675425.1	GCF_009675425.1_genomic.fna	contig	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/675/425/GCF_009675425.1_ASM967542v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/675/425/GCF_009675425.1_ASM967542v1/GCF_009675425.1_ASM967542v1_genomic.fna.gz
GCF_054357135v1	GCF_054357135.1	GCF_054357135.1_genomic.fna	contig	Escherichia coli	562	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/357/135/GCF_054357135.1_ASM5435713v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/357/135/GCF_054357135.1_ASM5435713v1/GCF_054357135.1_ASM5435713v1_genomic.fna.gz
GCF_045887855v1	GCF_045887855.1	GCF_045887855.1_genomic.fna	contig	Klebsiella ornithinolytica	54291	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/887/855/GCF_045887855.1_ASM4588785v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/887/855/GCF_045887855.1_ASM4588785v1/GCF_045887855.1_ASM4588785v1_genomic.fna.gz
GCF_000496935v2	GCF_000496935.2	GCF_000496935.2_genomic.fna	contig	Shinella sp. DD12	1410620	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/935/GCF_000496935.2_SPAdes3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/935/GCF_000496935.2_SPAdes3/GCF_000496935.2_SPAdes3_genomic.fna.gz
GCF_030850225v1	GCF_030850225.1	GCF_030850225.1_genomic.fna	contig	Enterobacter soli	885040	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/850/225/GCF_030850225.1_ASM3085022v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/850/225/GCF_030850225.1_ASM3085022v1/GCF_030850225.1_ASM3085022v1_genomic.fna.gz
GCF_059428335v1	GCF_059428335.1	GCF_059428335.1_genomic.fna	contig	Klebsiella pneumoniae	573	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/428/335/GCF_059428335.1_ASM5942833v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/428/335/GCF_059428335.1_ASM5942833v1/GCF_059428335.1_ASM5942833v1_genomic.fna.gz
GCF_002926165v1	GCF_002926165.1	GCF_002926165.1_genomic.fna	contig	Micromonospora chalcea	1874	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/926/165/GCF_002926165.1_ASM292616v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/926/165/GCF_002926165.1_ASM292616v1/GCF_002926165.1_ASM292616v1_genomic.fna.gz
GCF_003185325v1	GCF_003185325.1	GCF_003185325.1_genomic.fna	contig	Staphylococcus pseudintermedius	283734	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/185/325/GCF_003185325.1_ASM318532v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/185/325/GCF_003185325.1_ASM318532v1/GCF_003185325.1_ASM318532v1_genomic.fna.gz
GCF_052139315v1	GCF_052139315.1	GCF_052139315.1_genomic.fna	contig	Rhizobium leguminosarum	384	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/139/315/GCF_052139315.1_ASM5213931v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/139/315/GCF_052139315.1_ASM5213931v1/GCF_052139315.1_ASM5213931v1_genomic.fna.gz
